month,bin_left,bin_right,count,probability
6,28.039999136000006,29.792499082000006,0,0.0
6,29.792499082000006,31.544999028000007,1,0.03225806451612903
6,31.544999028000007,33.29749897400001,1,0.03225806451612903
6,33.29749897400001,35.04999892000001,0,0.0
7,0.0,1.7524999460000004,0,0.0
7,1.7524999460000004,3.5049998920000007,1,0.027777777777777776
7,3.5049998920000007,5.257499838000001,1,0.027777777777777776
7,5.257499838000001,7.0099997840000015,5,0.1388888888888889
7,7.0099997840000015,8.762499730000002,4,0.1111111111111111
7,8.762499730000002,10.514999676000002,3,0.08333333333333333
7,10.514999676000002,12.267499622000003,7,0.19444444444444445
7,12.267499622000003,14.019999568000003,4,0.1111111111111111
7,14.019999568000003,15.772499514000003,2,0.05555555555555555
7,15.772499514000003,17.524999460000004,1,0.027777777777777776
7,17.524999460000004,19.277499406000004,4,0.1111111111111111
7,19.277499406000004,21.029999352000004,1,0.027777777777777776
7,21.029999352000004,22.782499298000005,1,0.027777777777777776
7,22.782499298000005,24.534999244000005,0,0.0
7,24.534999244000005,26.287499190000005,1,0.027777777777777776
7,26.287499190000005,28.039999136000006,1,0.027777777777777776
7,28.039999136000006,29.792499082000006,0,0.0
7,29.792499082000006,31.544999028000007,0,0.0
7,31.544999028000007,33.29749897400001,0,0.0
7,33.29749897400001,35.04999892000001,0,0.0
8,0.0,1.7524999460000004,0,0.0
8,1.7524999460000004,3.5049998920000007,2,0.0625
8,3.5049998920000007,5.257499838000001,4,0.125
8,5.257499838000001,7.0099997840000015,5,0.15625
8,7.0099997840000015,8.762499730000002,6,0.1875
8,8.762499730000002,10.514999676000002,1,0.03125
8,10.514999676000002,12.267499622000003,5,0.15625
8,12.267499622000003,14.019999568000003,4,0.125
8,14.019999568000003,15.772499514000003,1,0.03125
8,15.772499514000003,17.524999460000004,1,0.03125
8,17.524999460000004,19.277499406000004,0,0.0
8,19.277499406000004,21.029999352000004,2,0.0625
8,21.029999352000004,22.782499298000005,0,0.0
8,22.782499298000005,24.534999244000005,0,0.0
8,24.534999244000005,26.287499190000005,0,0.0
8,26.287499190000005,28.039999136000006,1,0.03125
8,28.039999136000006,29.792499082000006,0,0.0
8,29.792499082000006,31.544999028000007,0,0.0
8,31.544999028000007,33.29749897400001,0,0.0
8,33.29749897400001,35.04999892000001,0,0.0
9,0.0,1.7524999460000004,0,0.0
9,1.7524999460000004,3.5049998920000007,3,0.10344827586206896
9,3.5049998920000007,5.257499838000001,3,0.10344827586206896
9,5.257499838000001,7.0099997840000015,7,0.2413793103448276
9,7.0099997840000015,8.762499730000002,7,0.2413793103448276
9,8.762499730000002,10.514999676000002,0,0.0
9,10.514999676000002,12.267499622000003,1,0.034482758620689655
9,12.267499622000003,14.019999568000003,2,0.06896551724137931
9,14.019999568000003,15.772499514000003,2,0.06896551724137931
9,15.772499514000003,17.524999460000004,2,0.06896551724137931
9,17.524999460000004,19.277499406000004,1,0.034482758620689655
9,19.277499406000004,21.029999352000004,1,0.034482758620689655
9,21.029999352000004,22.782499298000005,0,0.0
9,22.782499298000005,24.534999244000005,0,0.0
9,24.534999244000005,26.287499190000005,0,0.0
9,26.287499190000005,28.039999136000006,0,0.0
9,28.039999136000006,29.792499082000006,0,0.0
9,29.792499082000006,31.544999028000007,0,0.0
9,31.544999028000007,33.29749897400001,0,0.0
9,33.29749897400001,35.04999892000001,0,0.0
10,0.0,1.7524999460000004,0,0.0
10,1.7524999460000004,3.5049998920000007,4,0.15384615384615385
10,3.5049998920000007,5.257499838000001,1,0.038461538461538464
10,5.257499838000001,7.0099997840000015,7,0.2692307692307692
10,7.0099997840000015,8.762499730000002,5,0.19230769230769232
10,8.762499730000002,10.514999676000002,6,0.23076923076923078
10,10.514999676000002,12.267499622000003,2,0.07692307692307693
10,12.267499622000003,14.019999568000003,1,0.038461538461538464
10,14.019999568000003,15.772499514000003,0,0.0
10,15.772499514000003,17.524999460000004,0,0.0
10,17.524999460000004,19.277499406000004,0,0.0
10,19.277499406000004,21.029999352000004,0,0.0
10,21.029999352000004,22.782499298000005,0,0.0
10,22.782499298000005,24.534999244000005,0,0.0
10,24.534999244000005,26.287499190000005,0,0.0
10,26.287499190000005,28.039999136000006,0,0.0
10,28.039999136000006,29.792499082000006,0,0.0
10,29.792499082000006,31.544999028000007,0,0.0
10,31.544999028000007,33.29749897400001,0,0.0
10,33.29749897400001,35.04999892000001,0,0.0
11,0.0,1.7524999460000004,0,0.0
11,1.7524999460000004,3.5049998920000007,1,0.125
11,3.5049998920000007,5.257499838000001,0,0.0
11,5.257499838000001,7.0099997840000015,3,0.375
11,7.0099997840000015,8.762499730000002,2,0.25
11,8.762499730000002,10.514999676000002,1,0.125
11,10.514999676000002,12.267499622000003,0,0.0
